station_id,name,lat,lon,capacity,android_uri,ios_uri
3,01- ALAMEDA,-32.88167,-68.83681,14,https://bicitran.stmendoza.com/hub-detail/3,https://bicitran.stmendoza.com/hub-detail/3
4,02- PASEO VILLALONGA,-32.88407,-68.84838,17,https://bicitran.stmendoza.com/hub-detail/4,https://bicitran.stmendoza.com/hub-detail/4
5,03- PARQUE O´HIGGINS,-32.88477,-68.8297,18,https://bicitran.stmendoza.com/hub-detail/5,https://bicitran.stmendoza.com/hub-detail/5
6,04- PLAZA SAN MARTIN,-32.88718,-68.84085,10,https://bicitran.stmendoza.com/hub-detail/6,https://bicitran.stmendoza.com/hub-detail/6
7,05- PLAZA INDEPENDENCIA,-32.88939,-68.84484,16,https://bicitran.stmendoza.com/hub-detail/7,https://bicitran.stmendoza.com/hub-detail/7
8,06- ARISTIDES VILLANUEVA,-32.89142,-68.86011,15,https://bicitran.stmendoza.com/hub-detail/8,https://bicitran.stmendoza.com/hub-detail/8
9,07- KM 0,-32.890715045452176,-68.83887344047548,20,https://bicitran.stmendoza.com/hub-detail/9,https://bicitran.stmendoza.com/hub-detail/9
12,08- HOSPITAL CENTRAL,-32.89245,-68.83443,13,https://bicitran.stmendoza.com/hub-detail/12,https://bicitran.stmendoza.com/hub-detail/12
14,10- MUNICIPALIDAD CIUDAD,-32.89809,-68.84308,11,https://bicitran.stmendoza.com/hub-detail/14,https://bicitran.stmendoza.com/hub-detail/14
15,11- PEDRO MOLINA,-32.89633,-68.84604,10,https://bicitran.stmendoza.com/hub-detail/15,https://bicitran.stmendoza.com/hub-detail/15
18,12- BELGRANO,-32.8938,-68.85132,19,https://bicitran.stmendoza.com/hub-detail/18,https://bicitran.stmendoza.com/hub-detail/18
19,13- MARIANO MORENO,-32.90279,-68.85315,12,https://bicitran.stmendoza.com/hub-detail/19,https://bicitran.stmendoza.com/hub-detail/19
20,14- PLAZOLETA  BARRAQUERO,-32.90392,-68.84246,10,https://bicitran.stmendoza.com/hub-detail/20,https://bicitran.stmendoza.com/hub-detail/20
21,15- ARIZU,-32.908628458011854,-68.843851167984,14,https://bicitran.stmendoza.com/hub-detail/21,https://bicitran.stmendoza.com/hub-detail/21
22,16- PELLEGRINI,-32.90844,-68.85218,12,https://bicitran.stmendoza.com/hub-detail/22,https://bicitran.stmendoza.com/hub-detail/22
23,17- CHACABUCO,-32.91599,-68.8507,10,https://bicitran.stmendoza.com/hub-detail/23,https://bicitran.stmendoza.com/hub-detail/23
